date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:16:45	3922/3922	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Jul%202016%2006:45:10%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/signature.png	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/signature.png	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:16:48	26348/26348	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jul%202016%2006:45:20%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-small-09.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-small-09.jpg	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:16:49	38381/38381	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jul%202016%2006:45:18%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/avatar-image.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/avatar-image.jpg	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:16:49	121265/121265	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Jul%202016%2006:44:32%20GMT	http://appcotech.net/templates/colorcv/colorcv/css/bootstrap.min.css	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/css/bootstrap.min.css	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:16:52	19190/19190	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jul%202016%2006:45:28%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-small-02.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-small-02.jpg	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:16:55	18453/18453	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jul%202016%2006:45:28%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-small-03.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-small-03.jpg	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:17:15	170669/170669	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jul%202016%2006:45:58%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-02.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-02.jpg	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:17:18	178209/178209	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jul%202016%2006:45:58%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-03.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-03.jpg	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:17:19	19016/19016	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jul%202016%2006:45:26%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-small-04.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-small-04.jpg	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:17:22	168870/168870	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jul%202016%2006:45:52%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-04.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-04.jpg	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:17:22	20850/20850	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jul%202016%2006:45:24%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-small-05.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-small-05.jpg	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:17:26	21190/21190	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jul%202016%2006:45:22%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-small-07.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-small-07.jpg	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:17:27	290140/290140	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jul%202016%2006:45:40%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-09.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-09.jpg	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:17:31	22565/22565	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jul%202016%2006:45:24%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-small-06.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-small-06.jpg	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:17:47	178579/178579	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jul%202016%2006:45:46%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-07.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-07.jpg	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:17:55	214961/214961	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jul%202016%2006:45:46%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-06.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-06.jpg	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:18:00	198392/198392	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jul%202016%2006:45:52%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-05.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-05.jpg	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:18:00	215238/215238	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jul%202016%2006:45:40%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-08.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-08.jpg	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:18:00	5938/5938	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Oct%202016%2001:10:50%20GMT	http://appcotech.net/templates/colorcv/colorcv/content/remote-content.html	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/content/remote-content.html	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:18:05	82441/82441	---M--	200	added ('OK')	image/jpeg	date:Tue,%2009%20Aug%202016%2018:51:26%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/blog/blog-featured-wide-01.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/blog/blog-featured-wide-01.jpg	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:18:09	34769/34769	---M--	200	added ('OK')	image/jpeg	date:Tue,%2009%20Aug%202016%2018:53:58%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/blog/blog-featured-wide-04.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/blog/blog-featured-wide-04.jpg	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:18:09	71663/71663	---M--	200	added ('OK')	image/jpeg	date:Tue,%2009%20Aug%202016%2018:52:38%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/blog/blog-featured-wide-02.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/blog/blog-featured-wide-02.jpg	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:18:10	664/664	---M--	200	added ('OK')	application/javascript	date:Fri,%2022%20Jul%202016%2006:46:16%20GMT	http://appcotech.net/templates/colorcv/colorcv/js/ie10-viewport-bug-workaround.js	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/js/ie10-viewport-bug-workaround.js	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:18:15	36874/36874	---M--	200	added ('OK')	application/javascript	date:Fri,%2022%20Jul%202016%2006:46:22%20GMT	http://appcotech.net/templates/colorcv/colorcv/js/bootstrap.min.js	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/js/bootstrap.min.js	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:18:16	135339/135339	---M--	200	added ('OK')	image/jpeg	date:Tue,%2009%20Aug%202016%2018:53:22%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/blog/blog-featured-wide-03.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/blog/blog-featured-wide-03.jpg	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:18:17	8273/8273	---M--	200	added ('OK')	application/javascript	date:Tue,%2009%20Feb%202016%2021:34:00%20GMT	http://appcotech.net/templates/colorcv/colorcv/js/jquery.mousewheel.js	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/js/jquery.mousewheel.js	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:18:18	14850/14850	---M--	200	added ('OK')	application/javascript	date:Tue,%2009%20Feb%202016%2021:34:00%20GMT	http://appcotech.net/templates/colorcv/colorcv/js/jquery.jscrollpane.min.js	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/js/jquery.jscrollpane.min.js	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:18:19	85582/85582	---M--	200	added ('OK')	application/javascript	date:Fri,%2022%20Jul%202016%2006:46:10%20GMT	http://appcotech.net/templates/colorcv/colorcv/js/jquery.min.js	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/js/jquery.min.js	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:18:20	1074/1074	---M--	200	added ('OK')	application/javascript	date:Fri,%2022%20Jul%202016%2006:46:12%20GMT	http://appcotech.net/templates/colorcv/colorcv/js/jquery.counterup.min.js	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/js/jquery.counterup.min.js	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:18:21	42798/42798	---M--	200	added ('OK')	application/javascript	date:Fri,%2022%20Jul%202016%2006:46:02%20GMT	http://appcotech.net/templates/colorcv/colorcv/js/owl.carousel.min.js	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/js/owl.carousel.min.js	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:18:22	8336/8336	---M--	200	added ('OK')	application/javascript	date:Fri,%2022%20Jul%202016%2006:46:32%20GMT	http://appcotech.net/templates/colorcv/colorcv/js/simple-lightbox.min.js	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/js/simple-lightbox.min.js	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:18:22	34541/34541	---M--	200	added ('OK')	application/javascript	date:Fri,%2022%20Jul%202016%2006:46:14%20GMT	http://appcotech.net/templates/colorcv/colorcv/js/isotope.pkgd.min.js	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/js/isotope.pkgd.min.js	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:18:23	1771/1771	---M--	200	added ('OK')	application/javascript	date:Sun,%2023%20Oct%202016%2001:11:22%20GMT	http://appcotech.net/templates/colorcv/colorcv/js/appinit-v1.js	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/js/appinit-v1.js	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:18:24	9011/9011	---M--	200	added ('OK')	application/javascript	date:Sun,%2023%20Oct%202016%2001:11:23%20GMT	http://appcotech.net/templates/colorcv/colorcv/js/functions.js	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/js/functions.js	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:18:25	2563/2563	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Sep%202018%2018:18:24%20GMT	http://appcotech.net/templates/colorcv/colorcv/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/fonts/glyphicons-halflings-regular.eot	(from http://appcotech.net/templates/colorcv/colorcv/css/bootstrap.min.css)
00:18:25	2563/2563	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Sep%202018%2018:18:25%20GMT	http://appcotech.net/templates/colorcv/colorcv/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/fonts/glyphicons-halflings-regulard41d.eot	(from http://appcotech.net/templates/colorcv/colorcv/css/bootstrap.min.css)
00:18:27	18028/18028	---M--	200	added ('OK')	font/woff2	date:Fri,%2022%20Jul%202016%2006:44:48%20GMT	http://appcotech.net/templates/colorcv/colorcv/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/fonts/glyphicons-halflings-regular.woff2	(from http://appcotech.net/templates/colorcv/colorcv/css/bootstrap.min.css)
00:18:29	111633/111633	---M--	200	added ('OK')	application/javascript	date:Tue,%2019%20Jul%202016%2008:34:42%20GMT	http://appcotech.net/templates/colorcv/colorcv/js/TweenMax.min.js	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/js/TweenMax.min.js	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:18:29	23424/23424	---M--	200	added ('OK')	font/woff	date:Fri,%2022%20Jul%202016%2006:44:48%20GMT	http://appcotech.net/templates/colorcv/colorcv/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/fonts/glyphicons-halflings-regular.woff	(from http://appcotech.net/templates/colorcv/colorcv/css/bootstrap.min.css)
00:18:30	2563/2563	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Sep%202018%2018:18:29%20GMT	http://appcotech.net/templates/colorcv/colorcv/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/fonts/glyphicons-halflings-regular.ttf	(from http://appcotech.net/templates/colorcv/colorcv/css/bootstrap.min.css)
00:18:35	2563/2563	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Sep%202018%2018:18:33%20GMT	http://appcotech.net/templates/colorcv/colorcv/fonts/fontawesome-webfont.eot?v=4.6.3	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/fonts/fontawesome-webfont5b62.eot	(from http://appcotech.net/templates/colorcv/colorcv/css/font-awesome.min.css)
00:18:36	109025/109025	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2022%20Jul%202016%2006:44:50%20GMT	http://appcotech.net/templates/colorcv/colorcv/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/fonts/glyphicons-halflings-regular.svg	(from http://appcotech.net/templates/colorcv/colorcv/css/bootstrap.min.css)
00:18:37	2563/2563	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Sep%202018%2018:18:35%20GMT	http://appcotech.net/templates/colorcv/colorcv/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/fonts/fontawesome-webfontd41d.eot	(from http://appcotech.net/templates/colorcv/colorcv/css/font-awesome.min.css)
00:18:48	71896/71896	---M--	200	added ('OK')	font/woff2	date:Fri,%2022%20Jul%202016%2006:44:54%20GMT	http://appcotech.net/templates/colorcv/colorcv/fonts/fontawesome-webfont.woff2?v=4.6.3	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/fonts/fontawesome-webfont5b62.woff2	(from http://appcotech.net/templates/colorcv/colorcv/css/font-awesome.min.css)
00:18:49	90412/90412	---M--	200	added ('OK')	font/woff	date:Fri,%2022%20Jul%202016%2006:44:54%20GMT	http://appcotech.net/templates/colorcv/colorcv/fonts/fontawesome-webfont.woff?v=4.6.3	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/fonts/fontawesome-webfont5b62.woff	(from http://appcotech.net/templates/colorcv/colorcv/css/font-awesome.min.css)
00:18:50	2563/2563	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Sep%202018%2018:18:48%20GMT	http://appcotech.net/templates/colorcv/colorcv/fonts/fontawesome-webfont.ttf?v=4.6.3	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/fonts/fontawesome-webfont5b62.ttf	(from http://appcotech.net/templates/colorcv/colorcv/css/font-awesome.min.css)
00:18:53	2563/2563	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Sep%202018%2018:18:53%20GMT	http://appcotech.net/templates/colorcv/colorcv/css/owl.video.play.png	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/css/owl.video.play.png	(from http://appcotech.net/templates/colorcv/colorcv/css/owl.carousel.min.css)
00:19:01	392306/392306	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2022%20Jul%202016%2006:45:02%20GMT	http://appcotech.net/templates/colorcv/colorcv/fonts/fontawesome-webfont.svg?v=4.6.3	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/fonts/fontawesome-webfont5b62.svg	(from http://appcotech.net/templates/colorcv/colorcv/css/font-awesome.min.css)
00:19:51	22143/22143	UR-M--	200	added ('Partial%20Content')	image/jpeg	date:Fri,%2022%20Jul%202016%2006:45:22%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-small-08.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/portfolio/portfolio-small-08.jpg	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:19:51	2563/2563	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Sep%202018%2018:19:51%20GMT	http://appcotech.net/templates/colorcv/colorcv/content/images/blog/blog-featured-large.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/content/images/blog/blog-featured-large.3b.delayed	(from http://appcotech.net/templates/colorcv/colorcv/content/remote-content.html)
00:20:18	2563/2563	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Sep%202018%2018:20:17%20GMT	http://appcotech.net/templates/colorcv/colorcv/content/images/profile-img-01.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/content/images/profile-img-01.3c.delayed	(from http://appcotech.net/templates/colorcv/colorcv/content/remote-content.html)
00:20:31	2563/2563	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Sep%202018%2018:20:30%20GMT	http://appcotech.net/templates/colorcv/colorcv/content/images/profile-img-02.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/content/images/profile-img-02.3d.delayed	(from http://appcotech.net/templates/colorcv/colorcv/content/remote-content.html)
00:20:32	2563/2563	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Sep%202018%2018:20:31%20GMT	http://appcotech.net/templates/colorcv/colorcv/content/images/profile-img-03.jpg	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/content/images/profile-img-03.jpg	(from http://appcotech.net/templates/colorcv/colorcv/content/remote-content.html)
00:20:32	8839/8839	UR-M--	200	added ('Partial%20Content')	application/javascript	date:Fri,%2022%20Jul%202016%2006:46:06%20GMT	http://appcotech.net/templates/colorcv/colorcv/js/jquery.waypoints.min.js	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/js/jquery.waypoints.min.js	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
